sid,uzivatel_sid,verejny_cinnitel_sid,"fun_politicka_funkcia","fun_funkcne_obdobie_od","fun_funkcne_obdobie_do","fun_kandidoval_strana"
646,287,313,"beze verejnej funkcie","","","SaS"
647,201,629,"bez verejnej funkcie","","","SAS"
649,82,109,"člen strany","2009","","SaS"
650,334,360,"bez verejnej funkcie","","","nekandidoval"
651,89,630,"bez verejnej funkcie","","","-"
652,9,10,"bez verejnej funkcie","","","nekandidoval"
654,287,631,"beze verejnej funkcie","","","SaS"
655,153,632,"poslanec MZ Fiľakovo","2006","","MKP"
656,283,633,"bez verejnej funkcie","","","SaS"
657,89,634,"bez verejnej funkcie","","","SaS"
658,82,635,"člen strany","2009","","SaS"
659,283,636,"bez verejnej funkcie","","","SaS"
660,88,115,"kandidát na poslanca KSK","","","Sloboda a Solidarita"
661,81,637,"člen republikovej rady SaS","2009","","Hnutie Vpred - nečlen strany, kandidát na poslanca zastupiteľstva Bratislavského samosprávneho kraja v roku 2005 "
662,214,638,"bez verejnej funkcie","","","Sloboda a Solidarita"
663,329,639,"Sympatizant SaS","","","SaS"
664,329,640,"Sympatizant SaS","","","SaS"
665,214,641,"bez verejnej funkcie","","","Sloboda a Solidarita"
666,88,642,"kandidát na poslanca KSK","","","Sloboda a Solidarita"
667,107,134,"bez verejnej funkcie","","","Nádej"
669,88,644,"kandidát na poslanca KSK","","","Sloboda a Solidarita"
670,227,253,"bez verejnej funkcie","","","SaS"
671,334,645,"bez verejnej funkcie","","","nekandidoval"
672,264,290,"bez verejnej funkcie","","","SaS nečlen"
673,227,646,"bez verejnej funkcie","","","SaS"
674,262,288,"poslanec MZ","1994","1998","UŽPR"
675,234,260,"žiadna","2009","","Strana"
676,86,647,"bez verejnej funkcie","2009","","Sloboda a Solidarita"
677,128,648,"bez verejnej funkcie","2009","","SaS"
678,206,232,"poslanec obecného zastúpiteľstva","2006","","KDH - nečlen"
679,164,191,"sympatizant SaS","","","SaS"
680,128,649,"bez verejnej funkcie","2009","","SaS"
682,234,651,"žiadna","2009","","Strana"
683,136,652,"kandidát na poslanca VÚC Banská Bystrica","2009","","SaS"
684,95,653,"člen SaS","","","SaS"
685,163,190,"Poslanec mestského zastupiteľstva vo Zvolene","2002","","Nezávislý"
686,206,654,"poslanec obecného zastúpiteľstva","2006","","KDH"
687,248,274,"poslanec mestského zastupiteľstva","2007","","SDKÚ-KDH"
688,164,655,"sympatizant SaS","","","SaS"
689,263,656,"poslanec MsZ Stropkov","2007","","nezávislý kandidát"
690,164,657,"sympatizant SaS","","","SaS"
691,227,658,"bez verejnej funkcie","","","SaS"
692,248,659,"poslanec mestského zastupiteľstva","2007","","SDKÚ-KDH"
693,163,660,"Poslanec mestského zastupiteľstva vo Zvolene","2002","","Nezávislý"
694,94,661,"nemám","","","SaS"
695,105,132,"bez verejnej funkcie","2009","","SaS"
696,105,662,"bez verejnej funkcie","2009","","SaS"
697,256,663,"bez verejnej funkcie","","","SAS"
698,152,664,"aa","2009","","SaS"
699,152,664,"sympatizant","2009","","SaS"
700,152,665,"aa","2009","","SaS"
701,152,665,"sympatizant","2009","","SaS"
702,107,666,"bez verejnej funkcie","","","Nádej"
705,257,668,"kandidát na poslanca do VÚC","2009","","Sloboda a Solidarita"
706,257,668,"kandidát na poslanca VÚC Prešov","2009","","Sloboda a Solidarita"
707,100,669,"bez politickej funkcie","","","nekandidovall"
708,207,233,"bez verejnej  funkcie","","","Sloboda a Solidarita"
709,303,329,"bez verejnej funkcie","2009","","Sloboda a Solidarita"
710,134,161,"bez verejnej funkcie","","","Sloboda a Solidarita"
711,107,670,"bez verejnej funkcie","","","Nádej"
712,207,671,"bez verejnej  funkcie","","","Sloboda a Solidarita"
713,262,672,"poslanec MZ v Stropkove, člen MR ","2002","2006","ANO"
714,262,672,"poslanec MZ","1994","1998","UŽPR"
715,134,673,"bez verejnej funkcie","","","Sloboda a Solidarita"
716,342,674,"bez verejnej funkcie","","","SaS"
717,135,162,"poslanec Mestskeho zastupiteťstva Banska Bystrica","2006","","nezavislý"
718,135,162,"poslanec Mestskeho zastupiteťstva Banska Bystrica","2006","","nezavislý kandidát"
719,303,675,"bez verejnej funkcie","2009","","Sloboda a Solidarita"
720,135,676,"poslanec Mestskeho zastupiteťstva Banska Bystrica","2006","","nezavislý"
721,135,676,"poslanec Mestskeho zastupiteťstva Banska Bystrica","2006","","nezavislý kandidát"
723,241,677,"bez verejnej funkcie","","","SaS"
725,317,679,"okresný koordinátor SaS Čadca","2009","","nie"
726,316,680,"Bez verejnej funkcie","","","Doposial nekandidoval"
727,253,681,"Nezávislý","","","Sloboda a solidarita"
728,320,346,"poslanec v obecnej samospráve","1993","1998","nezávislý"
729,253,682,"Nezávislý","","","Sloboda a solidarita"
730,253,683,"Nezávislý","","","Sloboda a solidarita"
731,253,684,"Nezávislý","","","Sloboda a solidarita"
733,267,685,"bez funkcie","","","SaS"
734,236,262,"žiadna","2009","","SaS"
945,78,840,"Bez verejnej funkcie","","","Hnutie Vpred - nečlen strany, kandidát na poslanca zastupiteľstva Bratislavského samosprávneho kraja v roku 2005"
737,158,688,"bez verejnej funkcie","","","prebieha kandidátka za stranu SAS do VÚC"
738,320,689,"poslanec v obecnej samospráve","1993","1998","nezávislý"
739,206,690,"poslanec obecného zastúpiteľstva","2006","","KDH"
740,206,691,"poslanec obecného zastúpiteľstva","2006","","KDH - nečlen"
741,206,692,"poslanec obecného zastúpiteľstva","2006","","KDH - nečlen"
742,336,362,"bez verejnej funkcie","","","nezávislý kandidát"
743,236,693,"žiadna","2009","","SaS"
745,336,694,"bez verejnej funkcie","","","nezávislý kandidát"
746,73,101,"zakladajúci člen strany","","","SaS"
747,363,695,"poslanec NR SR","2006","","SDKÚ-DS"
946,142,841,"Žiadna","","","SaS"
755,355,700,"člen strany SMER","","2004","SMER"
756,355,701,"člen strany SMER","","2004","SMER"
757,290,702,"nemám","","","s podporou SaS"
758,95,703,"člen SaS","","","SaS"
760,232,258,"bez verejnej funkcie","","","SaS"
761,146,173,"bez verejnej funkcie","","","SaS"
762,146,704,"bez verejnej funkcie","","","SaS"
768,259,707,"žiadna","","","žiadna"
764,232,705,"bez verejnej funkcie","","","SaS"
765,19,706,"primátor","2006","","Smer - SD, KDH, SNS, SF, HZD"
766,259,285,"žiadna","","","žiadna"
767,19,706,"člen finančnej komisie VÚC ","2001","","SDĽ "
773,244,270,"žiadna","","","nekandidoval"
774,244,710,"žiadna","","","nekandidoval"
775,164,711,"sympatizant SaS","","","SaS"
776,19,712,"primátor","2006","","Smer - SD, KDH, SNS, SF, HZD"
777,19,712,"člen finančnej komisie VÚC ","2001","","SDĽ "
778,152,713,"bez verejnej funkcie","","","nekandidoval"
779,152,713,"bez verejnej funkcie","","","nekandidoval"
780,154,181,"posanec meského zastupiteľstva mesta Lučenec ","2006","","Slobodné fórum"
782,349,714,"podpredseda HZD","2006","","HZD"
783,349,714,"krajský predseda","2004","","HZD"
785,154,716,"posanec meského zastupiteľstva mesta Lučenec ","2006","","Slobodné fórum"
786,164,717,"sympatizant SaS","","","SaS"
787,252,718,"bez verejnej funkcie","","","Sloboda a solidarita"
788,154,719,"posanec meského zastupiteľstva mesta Lučenec ","2006","","Slobodné fórum"
790,103,721,"člen strany","2009","","SaS"
791,187,213,"poslanec obce","2006","","nezávislý"
792,349,722,"podpredseda HZD","2006","","HZD"
793,349,722,"krajský predseda","2004","","HZD"
797,73,725,"zakladajúci člen strany","","","SaS"
798,239,726,"bez verejnej funkcie","2009","","SaS"
800,365,727,"poslanec VUC","2005","","KDH,SDKÚ,DS"
803,145,730,"bez verejnej funkcie","","","SaS"
804,200,226,"kandidát na poslanca KSK","2009","","Sloboda a Solidarita"
805,277,303,"žiadna","","","žiadnu"
806,277,303,"kandidát na poslanca vuc","2009","","žiadnu"
807,277,732,"žiadna","","","žiadnu"
808,277,732,"kandidát na poslanca vuc","2009","","žiadnu"
809,361,731,"podpredseda MZ SDKÚ-DS Liptovský Mikuláš","2007","","SDKÚ-DS"
810,365,733,"poslanec VUC","2005","","KDH,SDKÚ,DS"
812,84,111,"Bez verejnej funkcie","","","SaS"
813,95,735,"člen SaS","","","SaS"
814,200,736,"kandidát na poslanca KSK","2009","","Sloboda a Solidarita"
815,361,737,"podpredseda MZ SDKÚ-DS Liptovský Mikuláš","2007","","SDKÚ-DS"
816,363,739,"poslanec NR SR","2006","","SDKÚ-DS"
817,20,738,"poslanec miestneho zastupiteľstva mestskej časti Bratislava - Staré Mesto","2006","","OKS v rámci koalície SDKÚ-DS - OKS - DU - SZ"
818,20,738,"poslanec miestneho zastupiteľstva mestskej časti Bratislava - Staré Mesto","2002","2006","OKS v rámci koalície KDH - DU - OKS"
819,187,740,"poslanec obce","2006","","nezávislý"
820,187,741,"poslanec obce","2006","","nezávislý"
